destination,saison,pm10_moyen,pm2_5_moyen,european_aqi_moyen,uv_index_moyen,heures_observees_air,source_air_quality,periode_reference_air_quality
paris,hiver,20.98,17.57,45.01,0.13,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28
paris,printemps,15.06,12.04,38.85,0.97,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31
paris,été,10.28,6.83,31.49,1.5,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31
paris,automne,12.19,8.6,34.88,0.44,2184,Open-Meteo Air Quality API,2025-09-01/2025-11-30
rome,hiver,20.56,17.01,40.29,0.27,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28
rome,printemps,15.93,11.65,37.47,1.19,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31
rome,été,15.45,9.67,40.74,2.01,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31
rome,automne,13.51,9.22,34.28,0.79,2184,Open-Meteo Air Quality API,2025-09-01/2025-11-30
lisbonne,hiver,19.66,13.91,36.49,0.38,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28
lisbonne,printemps,15.2,9.48,34.11,1.3,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31
lisbonne,été,19.54,10.92,32.89,2.16,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31
lisbonne,automne,15.83,9.72,31.17,0.9,2184,Open-Meteo Air Quality API,2025-09-01/2025-11-30
new york,hiver,14.23,13.56,43.36,0.34,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28
new york,printemps,11.88,11.05,41.24,1.07,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31
new york,été,18.13,17.43,51.89,1.61,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31
new york,automne,11.7,11.28,42.27,0.76,2184,Open-Meteo Air Quality API,2025-09-01/2025-11-30
tokyo,hiver,31.02,30.0,55.43,0.51,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28
tokyo,printemps,29.58,26.1,53.35,1.05,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31
tokyo,été,24.0,22.42,51.6,1.83,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31
tokyo,automne,28.46,27.24,54.08,0.85,2184,Open-Meteo Air Quality API,2025-09-01/2025-11-30
sydney,hiver,12.57,9.86,34.15,2.24,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28
sydney,printemps,11.25,9.25,31.84,1.01,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31
sydney,été,10.19,9.26,31.56,0.49,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31
sydney,automne,10.98,9.17,34.45,1.63,2184,Open-Meteo Air Quality API,2025-09-01/2025-11-30
dubaï,hiver,59.55,32.47,55.0,1.03,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28
dubaï,printemps,70.72,36.99,63.06,2.2,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31
dubaï,été,128.17,54.13,71.91,2.19,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31
dubaï,automne,80.53,41.8,60.89,1.56,2184,Open-Meteo Air Quality API,2025-09-01/2025-11-30
bali,hiver,12.8,11.67,33.02,1.96,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28
bali,printemps,12.14,10.4,31.68,2.19,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31
bali,été,13.38,9.86,30.22,1.86,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31
bali,automne,14.48,11.69,32.66,2.5,2184,Open-Meteo Air Quality API,2025-09-01/2025-11-30
