trip_id,client_type,budget_total,destination,saison,duree_jours,type_hebergement,prix_vol,meteo_prevue,activite_principale,satisfaction_client,imprevus,reorganisation_necessaire,respect_budget,retour_client,budget_par_jour,part_vol_budget,sejour_long,meteo_risque,client_business,hebergement_luxe,region_destination,distance_vol_categorie,destination_luxe,imprevu_present,imprevu_transport,imprevu_meteo,budget_non_respecte,gravite_imprevu,budget_tendu
1,solo,5548.9,dubaï,automne,3,hôtel,1320.77,ensoleillé,plage,3,annulation,1,0,séjour mitigé.,1849.6333333333332,0.23802375245544163,0.0,0.0,0.0,0.0,inconnu,inconnu,,1.0,1.0,0.0,1.0,3,0.0
2,business,3288.27,rome,printemps,12,hôtel,1524.09,variable,randonnée,4,aucun,0,1,excellent séjour.,274.0225,0.46349296134441514,0.0,1.0,1.0,0.0,europe,court,1.0,0.0,0.0,0.0,0.0,0,0.0
3,senior,13347.18,bali,printemps,16,villa,881.94,ensoleillé,plage,5,météo,1,1,excellent séjour.,834.19875,0.06607687916099131,1.0,0.0,0.0,1.0,asie,long,1.0,1.0,0.0,1.0,0.0,1,0.0
4,couple,7049.42,sydney,automne,17,appartement,844.39,nuageux,randonnée,3,météo,1,1,séjour mitigé.,414.67176470588237,0.11978148556902553,1.0,0.0,0.0,0.0,oceanie,long,1.0,1.0,0.0,1.0,0.0,1,0.0
5,solo,7612.92,paris,hiver,7,hôtel,1081.24,pluie,gastronomie,2,retard_vol,1,1,séjour mitigé.,1087.56,0.14202697519480043,0.0,1.0,0.0,0.0,europe,court,1.0,1.0,1.0,0.0,0.0,2,0.0
6,famille,9378.46,new york,printemps,12,hôtel,1762.66,nuageux,gastronomie,5,météo,1,1,excellent séjour.,781.5383333333333,0.18794770143499043,0.0,0.0,0.0,0.0,amerique du nord,long,1.0,1.0,0.0,1.0,0.0,1,0.0
7,business,7486.54,lisbonne,été,5,villa,1033.07,nuageux,business,5,météo,1,1,excellent séjour.,1497.308,0.13799031328223718,0.0,0.0,1.0,1.0,europe,court,0.0,1.0,0.0,1.0,0.0,1,0.0
9,couple,9414.0,paris,hiver,17,appartement,1156.59,pluie,gastronomie,2,annulation,1,0,séjour mitigé.,553.7647058823529,0.1228585086042065,1.0,1.0,0.0,0.0,europe,court,1.0,1.0,1.0,0.0,1.0,3,0.0
11,senior,12845.33,bali,automne,21,resort,466.0,variable,business,5,retard_vol,1,1,excellent séjour.,611.682380952381,0.03627777565854672,1.0,1.0,0.0,1.0,asie,long,1.0,1.0,1.0,0.0,0.0,2,0.0
12,senior,10106.42,paris,hiver,4,appartement,1281.23,nuageux,plage,2,retard_vol,1,0,séjour mitigé.,2526.605,0.12677387244939356,0.0,0.0,0.0,0.0,europe,court,1.0,1.0,1.0,0.0,1.0,2,0.0
13,famille,8515.12,new york,automne,10,villa,1204.4,nuageux,plage,1,météo,1,1,séjour mitigé.,851.5120000000001,0.1414425163708791,0.0,0.0,0.0,1.0,amerique du nord,long,1.0,1.0,0.0,1.0,0.0,1,0.0
