trip_id,client_type,budget_total,destination,saison,duree_jours,type_hebergement,prix_vol,meteo_prevue,activite_principale,satisfaction_client,imprevus,reorganisation_necessaire,respect_budget,retour_client,budget_par_jour,part_vol_budget,sejour_long,meteo_risque,client_business,hebergement_luxe,imprevu_present,imprevu_transport,imprevu_meteo,temperature_moyenne_saison,pluie_moyenne_mm,jours_pluie_moyen,vent_max_moyen_kmh,nb_jours_observes,latitude,longitude,source,periode_reference,pm10_moyen,pm2_5_moyen,european_aqi_moyen,uv_index_moyen,heures_observees_air,source_air_quality,periode_reference_air_quality
1,solo,5548.9,dubaï,automne,3,hôtel,1320.77,ensoleillé,plage,3,annulation,1,0,séjour mitigé.,1849.6333333333328,0.2380237524554416,0.0,0.0,0.0,0.0,1.0,1.0,0.0,29.44,0.0,0.0,20.09,91.0,25.07725,55.30927,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,80.53,41.8,60.89,1.56,2184.0,Open-Meteo Air Quality API,2025-09-01/2025-11-30
2,business,3288.27,rome,printemps,12,hôtel,1524.09,variable,randonnée,4,aucun,0,1,excellent séjour.,274.0225,0.4634929613444151,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.22,3.55,32.0,13.85,92.0,41.89193,12.51133,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,15.93,11.65,37.47,1.19,2208.0,Open-Meteo Air Quality API,2025-03-01/2025-05-31
3,senior,13347.18,bali,printemps,16,villa,881.94,ensoleillé,plage,5,météo,1,1,excellent séjour.,834.19875,0.0660768791609913,1.0,0.0,0.0,1.0,1.0,0.0,1.0,26.99,6.49,65.0,13.72,92.0,-8.65,115.21667,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,12.14,10.4,31.68,2.19,2208.0,Open-Meteo Air Quality API,2025-03-01/2025-05-31
4,couple,7049.42,sydney,automne,17,appartement,844.39,nuageux,randonnée,3,météo,1,1,séjour mitigé.,414.6717647058824,0.1197814855690255,1.0,0.0,0.0,0.0,1.0,0.0,1.0,19.17,1.74,22.0,21.07,91.0,-33.86785,151.20732,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,10.98,9.17,34.45,1.63,2184.0,Open-Meteo Air Quality API,2025-09-01/2025-11-30
5,solo,7612.92,paris,hiver,7,hôtel,1081.24,pluie,gastronomie,2,retard_vol,1,1,séjour mitigé.,1087.56,0.1420269751948004,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.95,2.61,35.0,15.72,90.0,48.85341,2.3488,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,20.98,17.57,45.01,0.13,2160.0,Open-Meteo Air Quality API,2024-12-01/2025-02-28
6,famille,9378.46,new york,printemps,12,hôtel,1762.66,nuageux,gastronomie,5,météo,1,1,excellent séjour.,781.5383333333333,0.1879477014349904,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.04,4.75,36.0,17.46,92.0,40.71427,-74.00597,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,11.88,11.05,41.24,1.07,2208.0,Open-Meteo Air Quality API,2025-03-01/2025-05-31
7,business,7486.54,lisbonne,été,5,villa,1033.07,nuageux,business,5,météo,1,1,excellent séjour.,1497.308,0.1379903132822371,0.0,0.0,1.0,1.0,1.0,0.0,1.0,23.39,0.06,1.0,17.22,92.0,38.72509,-9.1498,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,19.54,10.92,32.89,2.16,2208.0,Open-Meteo Air Quality API,2025-06-01/2025-08-31
9,couple,9414.0,paris,hiver,17,appartement,1156.59,pluie,gastronomie,2,annulation,1,0,séjour mitigé.,553.7647058823529,0.1228585086042065,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.95,2.61,35.0,15.72,90.0,48.85341,2.3488,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,20.98,17.57,45.01,0.13,2160.0,Open-Meteo Air Quality API,2024-12-01/2025-02-28
11,senior,12845.33,bali,automne,21,resort,466.0,variable,business,5,retard_vol,1,1,excellent séjour.,611.682380952381,0.0362777756585467,1.0,1.0,0.0,1.0,1.0,1.0,0.0,26.3,6.82,61.0,14.71,91.0,-8.65,115.21667,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,14.48,11.69,32.66,2.5,2184.0,Open-Meteo Air Quality API,2025-09-01/2025-11-30
12,senior,10106.42,paris,hiver,4,appartement,1281.23,nuageux,plage,2,retard_vol,1,0,séjour mitigé.,2526.605,0.1267738724493935,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.95,2.61,35.0,15.72,90.0,48.85341,2.3488,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,20.98,17.57,45.01,0.13,2160.0,Open-Meteo Air Quality API,2024-12-01/2025-02-28
13,famille,8515.12,new york,automne,10,villa,1204.4,nuageux,plage,1,météo,1,1,séjour mitigé.,851.5120000000001,0.1414425163708791,0.0,0.0,0.0,1.0,1.0,0.0,1.0,13.97,3.07,25.0,15.38,91.0,40.71427,-74.00597,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,11.7,11.28,42.27,0.76,2184.0,Open-Meteo Air Quality API,2025-09-01/2025-11-30
14,solo,7607.9,sydney,printemps,19,hôtel,820.22,ensoleillé,randonnée,2,annulation,1,1,séjour mitigé.,400.4157894736842,0.1078116168719357,1.0,0.0,0.0,0.0,1.0,1.0,0.0,19.13,4.44,49.0,17.74,92.0,-33.86785,151.20732,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,11.25,9.25,31.84,1.01,2208.0,Open-Meteo Air Quality API,2025-03-01/2025-05-31
15,business,12985.57,new york,été,9,hôtel,1631.27,pluie,randonnée,4,retard_vol,1,1,excellent séjour.,1442.841111111111,0.1256217478324016,0.0,1.0,1.0,0.0,1.0,1.0,0.0,24.52,2.28,32.0,14.21,92.0,40.71427,-74.00597,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,18.13,17.43,51.89,1.61,2208.0,Open-Meteo Air Quality API,2025-06-01/2025-08-31
16,solo,6125.88,rome,automne,21,appartement,1211.76,nuageux,business,1,aucun,0,0,séjour mitigé.,291.7085714285714,0.1978099473055299,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.21,4.01,24.0,12.75,91.0,41.89193,12.51133,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,13.51,9.22,34.28,0.79,2184.0,Open-Meteo Air Quality API,2025-09-01/2025-11-30
17,senior,8193.32,new york,hiver,17,appartement,1494.6,pluie,business,2,aucun,0,1,séjour mitigé.,481.96,0.1824168957150459,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,32.0,16.49,90.0,40.71427,-74.00597,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,14.23,13.56,43.36,0.34,2160.0,Open-Meteo Air Quality API,2024-12-01/2025-02-28
19,famille,12221.95,rome,printemps,4,villa,1206.0,variable,culture,2,aucun,0,1,séjour mitigé.,3055.4875,0.0986749250324211,0.0,1.0,0.0,1.0,0.0,0.0,0.0,15.22,3.55,32.0,13.85,92.0,41.89193,12.51133,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,15.93,11.65,37.47,1.19,2208.0,Open-Meteo Air Quality API,2025-03-01/2025-05-31
20,business,10416.72,tokyo,printemps,5,appartement,529.64,ensoleillé,plage,3,annulation,1,1,séjour mitigé.,2083.344,0.05084517967268,0.0,0.0,1.0,0.0,1.0,1.0,0.0,14.52,6.04,44.0,15.33,92.0,35.6895,139.69171,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,29.58,26.1,53.35,1.05,2208.0,Open-Meteo Air Quality API,2025-03-01/2025-05-31
21,famille,8186.44,bali,automne,20,appartement,1236.69,variable,business,2,aucun,0,1,séjour mitigé.,409.322,0.1510656646845271,1.0,1.0,0.0,0.0,0.0,0.0,0.0,26.3,6.82,61.0,14.71,91.0,-8.65,115.21667,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,14.48,11.69,32.66,2.5,2184.0,Open-Meteo Air Quality API,2025-09-01/2025-11-30
22,solo,10407.99,rome,automne,5,appartement,1617.2,pluie,plage,5,retard_vol,1,0,excellent séjour.,2081.598,0.1553806258461048,0.0,1.0,0.0,0.0,1.0,1.0,0.0,17.21,4.01,24.0,12.75,91.0,41.89193,12.51133,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,13.51,9.22,34.28,0.79,2184.0,Open-Meteo Air Quality API,2025-09-01/2025-11-30
23,famille,10261.51,lisbonne,hiver,16,resort,1194.54,ensoleillé,plage,1,bagages,1,0,séjour mitigé.,641.344375,0.1164097681530301,1.0,0.0,0.0,1.0,1.0,1.0,0.0,12.63,2.92,26.0,17.53,90.0,38.72509,-9.1498,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,19.66,13.91,36.49,0.38,2160.0,Open-Meteo Air Quality API,2024-12-01/2025-02-28
24,solo,13391.63,dubaï,automne,3,villa,1648.46,pluie,business,5,météo,1,1,excellent séjour.,4463.876666666666,0.1230962922362699,0.0,1.0,0.0,1.0,1.0,0.0,1.0,29.44,0.0,0.0,20.09,91.0,25.07725,55.30927,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,80.53,41.8,60.89,1.56,2184.0,Open-Meteo Air Quality API,2025-09-01/2025-11-30
25,famille,5884.06,tokyo,hiver,14,villa,427.89,pluie,culture,1,aucun,0,0,séjour mitigé.,420.29,0.0727201965989469,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6.08,0.56,8.0,14.28,90.0,35.6895,139.69171,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,31.02,30.0,55.43,0.51,2160.0,Open-Meteo Air Quality API,2024-12-01/2025-02-28
26,couple,954.98,lisbonne,hiver,8,villa,776.88,variable,business,1,retard_vol,1,1,séjour mitigé.,119.3725,0.8135039477266539,0.0,1.0,0.0,1.0,1.0,1.0,0.0,12.63,2.92,26.0,17.53,90.0,38.72509,-9.1498,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,19.66,13.91,36.49,0.38,2160.0,Open-Meteo Air Quality API,2024-12-01/2025-02-28
27,senior,14732.22,lisbonne,été,15,resort,631.15,variable,plage,5,bagages,1,1,excellent séjour.,982.148,0.0428414726361675,1.0,1.0,0.0,1.0,1.0,1.0,0.0,23.39,0.06,1.0,17.22,92.0,38.72509,-9.1498,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,19.54,10.92,32.89,2.16,2208.0,Open-Meteo Air Quality API,2025-06-01/2025-08-31
28,business,10572.54,lisbonne,été,21,resort,606.79,ensoleillé,culture,5,bagages,1,0,excellent séjour.,503.4542857142857,0.0573930200311372,1.0,0.0,1.0,1.0,1.0,1.0,0.0,23.39,0.06,1.0,17.22,92.0,38.72509,-9.1498,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,19.54,10.92,32.89,2.16,2208.0,Open-Meteo Air Quality API,2025-06-01/2025-08-31
29,solo,14826.2,bali,automne,21,villa,1357.46,nuageux,gastronomie,2,retard_vol,1,0,séjour mitigé.,706.0095238095239,0.0915581875328809,1.0,0.0,0.0,1.0,1.0,1.0,0.0,26.3,6.82,61.0,14.71,91.0,-8.65,115.21667,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,14.48,11.69,32.66,2.5,2184.0,Open-Meteo Air Quality API,2025-09-01/2025-11-30
30,business,2403.24,dubaï,été,8,appartement,1727.18,variable,culture,4,météo,1,0,excellent séjour.,300.405,0.7186881043924037,0.0,1.0,1.0,0.0,1.0,0.0,1.0,35.27,0.0,0.0,22.79,92.0,25.07725,55.30927,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,128.17,54.13,71.91,2.19,2208.0,Open-Meteo Air Quality API,2025-06-01/2025-08-31
31,couple,1497.43,lisbonne,printemps,9,hôtel,1185.28,variable,culture,2,météo,1,0,séjour mitigé.,166.38111111111112,0.7915428434050339,0.0,1.0,0.0,0.0,1.0,0.0,1.0,15.64,3.53,41.0,19.08,92.0,38.72509,-9.1498,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,15.2,9.48,34.11,1.3,2208.0,Open-Meteo Air Quality API,2025-03-01/2025-05-31
32,senior,14400.28,new york,automne,20,villa,343.17,pluie,gastronomie,1,retard_vol,1,1,séjour mitigé.,720.014,0.0238307866235934,1.0,1.0,0.0,1.0,1.0,1.0,0.0,13.97,3.07,25.0,15.38,91.0,40.71427,-74.00597,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,11.7,11.28,42.27,0.76,2184.0,Open-Meteo Air Quality API,2025-09-01/2025-11-30
