trip_id,client_type,budget_total,destination,saison,duree_jours,type_hebergement,prix_vol,meteo_prevue,activite_principale,satisfaction_client,imprevus,reorganisation_necessaire,respect_budget,retour_client,reste_budget_apres_vol,budget_apres_vol_par_jour,score_budget_destination,score_prix_vol_coherent,score_adequation_activite_profil,score_meteo_prevue,score_contexte_destination,score_potentiel_satisfaction,niveau_risque_satisfaction
1,solo,5548.9,dubaï,automne,3,hôtel,1320.77,ensoleillé,plage,3,annulation,1,0,séjour mitigé.,4228.129999999999,1409.3766666666663,0.4495696721311473,0.0,0,1.0,0.6703277777777777,0.4463,risque_moyen
2,business,3288.27,rome,printemps,12,hôtel,1524.09,variable,randonnée,4,aucun,0,1,excellent séjour.,1764.18,147.015,0.3664326923076922,0.0,0,0.45,0.4113722222222222,0.326,risque_eleve
3,senior,13347.18,bali,printemps,16,villa,881.94,ensoleillé,plage,5,météo,1,1,excellent séjour.,12465.24,779.0775,1.0,0.9256618357487922,0,1.0,0.5140166666666667,0.6283,risque_faible
4,couple,7049.42,sydney,automne,17,appartement,844.39,nuageux,randonnée,3,météo,1,1,séjour mitigé.,6205.03,365.0017647058824,0.413971875,1.0,0,0.7,0.5032777777777777,0.4403,risque_moyen
5,solo,7612.92,paris,hiver,7,hôtel,1081.24,pluie,gastronomie,2,retard_vol,1,1,séjour mitigé.,6531.68,933.0971428571428,1.0,0.0,0,0.25,0.17495,0.451,risque_moyen
6,famille,9378.46,new york,printemps,12,hôtel,1762.66,nuageux,gastronomie,5,météo,1,1,excellent séjour.,7615.799999999999,634.65,1.0,0.0,1,0.7,0.3306888888888888,0.5837,risque_moyen
7,business,7486.54,lisbonne,été,5,villa,1033.07,nuageux,business,5,météo,1,1,excellent séjour.,6453.47,1290.694,1.0,0.0,1,0.7,0.5779666666666666,0.6134,risque_faible
9,couple,9414.0,paris,hiver,17,appartement,1156.59,pluie,gastronomie,2,annulation,1,0,séjour mitigé.,8257.41,485.73,1.0,0.0,1,0.25,0.17495,0.511,risque_moyen
11,senior,12845.33,bali,automne,21,resort,466.0,variable,business,5,retard_vol,1,1,excellent séjour.,12379.33,589.4919047619047,1.0,1.0,0,0.45,0.5225333333333333,0.5767,risque_moyen
12,senior,10106.42,paris,hiver,4,appartement,1281.23,nuageux,plage,2,retard_vol,1,0,séjour mitigé.,8825.19,2206.2975,1.0,0.0,0,0.7,0.17495,0.505,risque_moyen
13,famille,8515.12,new york,automne,10,villa,1204.4,nuageux,plage,1,météo,1,1,séjour mitigé.,7310.720000000001,731.0720000000001,0.9500230769230767,0.2033986928104574,1,0.7,0.3630666666666667,0.7302,risque_faible
14,solo,7607.9,sydney,printemps,19,hôtel,820.22,ensoleillé,randonnée,2,annulation,1,1,séjour mitigé.,6787.679999999999,357.24631578947367,0.5012343749999999,1.0,1,1.0,0.51555,0.8022,risque_faible
15,business,12985.57,new york,été,9,hôtel,1631.27,pluie,randonnée,4,retard_vol,1,1,excellent séjour.,11354.3,1261.5888888888887,1.0,0.0,0,0.25,0.4609944444444444,0.4853,risque_moyen
16,solo,6125.88,rome,automne,21,appartement,1211.76,nuageux,business,1,aucun,0,0,séjour mitigé.,4914.12,234.00571428571428,1.0,0.0,0,0.7,0.4660166666666667,0.5399,risque_moyen
17,senior,8193.32,new york,hiver,17,appartement,1494.6,pluie,business,2,aucun,0,1,séjour mitigé.,6698.719999999999,394.0423529411764,0.8881384615384613,0.0,0,0.25,0.1832,0.4207,risque_moyen
19,famille,12221.95,rome,printemps,4,villa,1206.0,variable,culture,2,aucun,0,1,séjour mitigé.,11015.95,2753.9875,1.0,0.0,1,0.45,0.4113722222222222,0.6834,risque_faible
20,business,10416.72,tokyo,printemps,5,appartement,529.64,ensoleillé,plage,3,annulation,1,1,séjour mitigé.,9887.08,1977.416,1.0,1.0,0,1.0,0.3183611111111111,0.6182,risque_faible
21,famille,8186.44,bali,automne,20,appartement,1236.69,variable,business,2,aucun,0,1,séjour mitigé.,6949.75,347.4875,0.9629919354838709,0.5829082125603865,0,0.45,0.5225333333333333,0.6113,risque_faible
22,solo,10407.99,rome,automne,5,appartement,1617.2,pluie,plage,5,retard_vol,1,0,excellent séjour.,8790.789999999999,1758.158,1.0,0.0,0,0.25,0.4660166666666667,0.4859,risque_moyen
23,famille,10261.51,lisbonne,hiver,16,resort,1194.54,ensoleillé,plage,1,bagages,1,0,séjour mitigé.,9066.97,566.6856250000001,1.0,0.0,1,1.0,0.3659111111111111,0.7439,risque_faible
24,solo,13391.63,dubaï,automne,3,villa,1648.46,pluie,business,5,météo,1,1,excellent séjour.,11743.169999999998,3914.39,1.0,0.0,0,0.25,0.6703277777777777,0.3904,risque_eleve
25,famille,5884.06,tokyo,hiver,14,villa,427.89,pluie,culture,1,aucun,0,0,séjour mitigé.,5456.17,389.7264285714286,0.3340381944444444,1.0,1,0.25,0.1438499999999999,0.6208,risque_faible
26,couple,954.98,lisbonne,hiver,8,villa,776.88,variable,business,1,retard_vol,1,1,séjour mitigé.,178.10000000000002,22.262500000000003,0.0,0.0,0,0.45,0.3659111111111111,0.2179,risque_eleve
27,senior,14732.22,lisbonne,été,15,resort,631.15,variable,plage,5,bagages,1,1,excellent séjour.,14101.07,940.0713333333332,1.0,0.0,0,0.45,0.5779666666666666,0.4034,risque_moyen
28,business,10572.54,lisbonne,été,21,resort,606.79,ensoleillé,culture,5,bagages,1,0,excellent séjour.,9965.75,474.5595238095238,1.0,0.0035380116959067,0,1.0,0.5779666666666666,0.47,risque_moyen
29,solo,14826.2,bali,automne,21,villa,1357.46,nuageux,gastronomie,2,retard_vol,1,0,séjour mitigé.,13468.740000000002,641.3685714285715,1.0,0.4662222222222221,0,0.7,0.5225333333333333,0.5106,risque_moyen
30,business,2403.24,dubaï,été,8,appartement,1727.18,variable,culture,4,météo,1,0,excellent séjour.,676.0599999999997,84.50749999999996,0.0,0.0,0,0.45,0.5018666666666666,0.1142,risque_eleve
31,couple,1497.43,lisbonne,printemps,9,hôtel,1185.28,variable,culture,2,météo,1,0,séjour mitigé.,312.1500000000001,34.683333333333344,0.0,0.0,1,0.45,0.4363388888888889,0.4064,risque_moyen
32,senior,14400.28,new york,automne,20,villa,343.17,pluie,gastronomie,1,retard_vol,1,1,séjour mitigé.,14057.11,702.8555,1.0,1.0,1,0.25,0.3630666666666667,0.7136,risque_faible
33,famille,11390.91,dubaï,printemps,21,resort,134.0,variable,randonnée,1,bagages,1,0,séjour mitigé.,11256.91,536.0433333333333,1.0,1.0,0,0.45,0.6816444444444444,0.7158,risque_faible
34,couple,4132.88,rome,été,7,villa,1348.67,ensoleillé,randonnée,2,météo,1,0,séjour mitigé.,2784.21,397.7442857142857,0.6371410256410256,0.0,0,1.0,0.4642444444444444,0.4741,risque_moyen
35,business,7427.8,bali,hiver,10,villa,1602.58,variable,gastronomie,1,retard_vol,1,1,séjour mitigé.,5825.22,582.522,0.8100403225806452,0.2293913043478261,0,0.45,0.5211222222222222,0.3846,risque_eleve
36,couple,8629.37,paris,printemps,4,villa,1796.66,nuageux,culture,2,météo,1,0,séjour mitigé.,6832.710000000001,1708.1775000000002,1.0,0.0,1,0.7,0.3504166666666666,0.7061,risque_faible
37,couple,9354.51,sydney,été,12,villa,1795.83,ensoleillé,gastronomie,3,bagages,1,1,séjour mitigé.,7558.68,629.89,0.7741421874999999,0.2428803418803419,1,1.0,0.3825888888888888,0.7264,risque_faible
38,business,13023.12,new york,printemps,13,hôtel,165.31,ensoleillé,plage,5,aucun,0,0,excellent séjour.,12857.81,989.0623076923076,1.0,1.0,0,1.0,0.3306888888888888,0.7397,risque_faible
39,senior,853.14,lisbonne,été,6,appartement,577.9,pluie,randonnée,1,retard_vol,1,1,séjour mitigé.,275.24,45.873333333333335,0.0,0.0880116959064328,0,0.25,0.5779666666666666,0.2352,risque_eleve
40,senior,5736.58,dubaï,automne,17,villa,164.47,nuageux,culture,5,aucun,0,0,excellent séjour.,5572.11,327.7711764705882,0.48802868852459,1.0,1,0.7,0.6703277777777777,0.6611,risque_faible
41,business,5227.96,tokyo,été,16,appartement,851.56,pluie,culture,2,bagages,1,0,séjour mitigé.,4376.4,273.525,0.2201319444444444,0.8766560846560847,0,0.25,0.4004166666666666,0.2975,risque_eleve
42,business,5142.1,tokyo,été,15,appartement,954.2,ensoleillé,randonnée,5,bagages,1,1,excellent séjour.,4187.900000000001,279.1933333333334,0.2052256944444444,0.7680423280423281,0,1.0,0.4004166666666666,0.3638,risque_eleve
43,solo,13696.57,new york,printemps,10,hôtel,348.33,ensoleillé,business,2,annulation,1,1,séjour mitigé.,13348.24,1334.824,1.0,1.0,0,1.0,0.3306888888888888,0.7397,risque_faible
44,solo,13525.7,rome,hiver,3,villa,595.68,nuageux,culture,5,annulation,1,1,excellent séjour.,12930.02,4310.006666666667,1.0,0.3069629629629631,1,0.7,0.2807999999999999,0.6329,risque_faible
45,business,4100.91,tokyo,été,14,appartement,750.07,ensoleillé,culture,3,aucun,0,0,séjour mitigé.,3350.84,239.34571428571425,0.0244635416666666,0.98405291005291,0,1.0,0.4004166666666666,0.352,risque_eleve
46,senior,10110.99,paris,été,14,hôtel,1163.0,nuageux,culture,4,météo,1,0,excellent séjour.,8947.99,639.1421428571429,1.0,0.0,1,0.7,0.5546333333333333,0.7306,risque_faible
47,famille,11526.28,sydney,été,15,villa,1541.26,nuageux,randonnée,1,bagages,1,0,séjour mitigé.,9985.02,665.668,1.0,0.4604615384615383,0,0.7,0.3825888888888888,0.6128,risque_faible
48,couple,9297.44,lisbonne,hiver,11,villa,1085.6,ensoleillé,business,5,aucun,0,0,excellent séjour.,8211.84,746.5309090909091,1.0,0.0,0,1.0,0.3659111111111111,0.5639,risque_moyen
49,business,10193.15,new york,printemps,7,resort,307.18,ensoleillé,randonnée,5,retard_vol,1,1,excellent séjour.,9885.97,1412.2814285714285,1.0,1.0,0,1.0,0.3306888888888888,0.6197,risque_faible
50,couple,13659.38,paris,printemps,21,appartement,1366.22,ensoleillé,gastronomie,4,aucun,0,0,excellent séjour.,12293.16,585.3885714285714,1.0,0.0,1,1.0,0.3504166666666666,0.6221,risque_faible
51,couple,6298.38,new york,été,7,villa,1191.79,ensoleillé,randonnée,2,retard_vol,1,1,séjour mitigé.,5106.59,729.5128571428571,0.5237269230769229,0.2198823529411766,0,1.0,0.4609944444444444,0.4815,risque_moyen
52,couple,11568.18,paris,printemps,15,appartement,1196.77,variable,randonnée,2,bagages,1,0,séjour mitigé.,10371.41,691.4273333333333,1.0,0.0,0,0.45,0.3504166666666666,0.376,risque_eleve
53,business,1535.43,sydney,automne,3,appartement,1308.71,pluie,business,4,météo,1,1,excellent séjour.,226.72000000000003,75.57333333333334,0.0,0.6592222222222224,1,0.25,0.5032777777777777,0.3891,risque_eleve
54,business,2101.65,rome,printemps,5,appartement,1572.69,pluie,business,1,météo,1,1,séjour mitigé.,528.96,105.792,0.0,0.0,1,0.25,0.4113722222222222,0.2594,risque_eleve
55,solo,4271.55,dubaï,automne,9,villa,1274.38,variable,randonnée,2,retard_vol,1,0,séjour mitigé.,2997.17,333.0188888888889,0.1878176229508196,0.0,1,0.45,0.6703277777777777,0.367,risque_eleve
56,couple,6164.98,rome,hiver,15,appartement,1235.25,nuageux,gastronomie,2,bagages,1,1,séjour mitigé.,4929.73,328.64866666666666,1.0,0.0,1,0.7,0.2807999999999999,0.5777,risque_moyen
57,business,2661.97,sydney,hiver,5,villa,1475.38,nuageux,culture,2,retard_vol,1,1,séjour mitigé.,1186.5899999999997,237.31799999999996,0.0,0.5167692307692306,0,0.7,0.5683611111111111,0.2452,risque_eleve
58,senior,6102.08,lisbonne,printemps,12,villa,1009.15,nuageux,plage,2,météo,1,0,séjour mitigé.,5092.93,424.41083333333336,1.0,0.0,0,0.7,0.4363388888888889,0.4164,risque_moyen
59,business,4646.58,lisbonne,hiver,7,villa,841.25,nuageux,gastronomie,2,météo,1,0,séjour mitigé.,3805.33,543.6185714285714,1.0,0.0,0,0.7,0.3659111111111111,0.4079,risque_moyen
60,solo,14936.62,new york,été,15,resort,1199.42,ensoleillé,culture,3,météo,1,0,séjour mitigé.,13737.2,915.8133333333334,1.0,0.2099084967320262,1,1.0,0.4609944444444444,0.6731,risque_faible
61,couple,10432.85,new york,printemps,12,resort,1032.05,nuageux,gastronomie,4,retard_vol,1,1,excellent séjour.,9400.8,783.4000000000001,1.0,0.4286928104575165,1,0.7,0.3306888888888888,0.7808,risque_faible
62,senior,7891.24,rome,été,16,resort,1190.78,ensoleillé,culture,2,météo,1,0,séjour mitigé.,6700.46,418.77875,1.0,0.0,1,1.0,0.4642444444444444,0.6357,risque_faible
63,couple,4858.33,rome,hiver,10,resort,1326.68,variable,gastronomie,2,retard_vol,1,1,séjour mitigé.,3531.65,353.165,0.8696570512820512,0.0,1,0.45,0.2807999999999999,0.6312,risque_faible
64,famille,4903.8,lisbonne,été,8,villa,645.25,ensoleillé,plage,3,météo,0,1,séjour mitigé.,4258.55,532.31875,1.0,0.0,1,1.0,0.5779666666666666,0.7694,risque_faible
65,business,1652.62,rome,printemps,4,appartement,948.98,pluie,culture,1,retard_vol,1,1,séjour mitigé.,703.6399999999999,175.90999999999997,0.0,0.0,0,0.25,0.4113722222222222,0.0794,risque_eleve
66,couple,9703.95,lisbonne,automne,15,villa,828.65,variable,plage,2,bagages,1,1,séjour mitigé.,8875.300000000001,591.6866666666667,1.0,0.0,1,0.45,0.5109277777777776,0.6953,risque_faible
67,business,1590.34,rome,automne,3,appartement,1085.72,ensoleillé,business,4,météo,0,0,excellent séjour.,504.6199999999999,168.20666666666662,0.0,0.0,1,1.0,0.4660166666666667,0.3559,risque_eleve
68,famille,8401.42,new york,automne,10,resort,1161.43,ensoleillé,plage,2,météo,1,0,séjour mitigé.,7239.99,723.999,0.9281576923076924,0.2595686274509804,1,1.0,0.3630666666666667,0.7702,risque_faible
69,senior,12479.47,bali,printemps,17,hôtel,1068.25,variable,culture,2,retard_vol,1,0,séjour mitigé.,11411.22,671.2482352941176,1.0,0.7456521739130435,1,0.45,0.5140166666666667,0.8299,risque_faible
70,couple,3835.27,tokyo,été,12,villa,591.17,ensoleillé,randonnée,2,retard_vol,0,1,séjour mitigé.,3244.1,270.34166666666664,0.0,1.0,0,1.0,0.4004166666666666,0.468,risque_moyen
71,couple,11292.57,paris,automne,13,appartement,1490.79,nuageux,plage,3,retard_vol,1,1,séjour mitigé.,9801.78,753.9830769230769,1.0,0.0,1,0.7,0.3681277777777778,0.5882,risque_moyen
