trip_id,client_type,budget_total,destination,saison,duree_jours,type_hebergement,prix_vol,meteo_prevue,activite_principale,satisfaction_client,imprevus,reorganisation_necessaire,respect_budget,retour_client,budget_par_jour,part_vol_budget,sejour_long,meteo_risque,client_business,hebergement_luxe,imprevu_present,imprevu_transport,imprevu_meteo,temperature_moyenne_saison,pluie_moyenne_mm,jours_pluie_moyen,vent_max_moyen_kmh,nb_jours_observes,latitude,longitude,source,periode_reference,pm10_moyen,pm2_5_moyen,european_aqi_moyen,uv_index_moyen,heures_observees_air,source_air_quality,periode_reference_air_quality,reste_budget_apres_vol,budget_apres_vol_par_jour,ratio_budget_reference_destination,ratio_prix_vol_reference_destination,score_budget_destination,score_prix_vol_coherent,score_adequation_activite_profil,score_adequation_hebergement_profil,score_meteo_prevue,score_confort_temperature,score_risque_pluie_reel,score_qualite_air,score_contexte_destination,score_potentiel_satisfaction,niveau_risque_satisfaction
1,solo,5548.9,dubaï,automne,3,hôtel,1320.77,ensoleillé,plage,3,annulation,1,0,séjour mitigé.,1849.6333333333328,0.2380237524554416,0.0,0.0,0.0,0.0,1.0,1.0,0.0,29.44,0.0,0.0,20.09,91.0,25.07725,55.30927,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,80.53,41.8,60.89,1.56,2184.0,Open-Meteo Air Quality API,2025-09-01/2025-11-30,4228.129999999999,1409.3766666666663,0.909655737704918,1.8868142857142856,0.4495696721311473,0.0,0,1,1.0,0.6422222222222221,1.0,0.3185,0.6703277777777777,0.4463,risque_moyen
2,business,3288.27,rome,printemps,12,hôtel,1524.09,variable,randonnée,4,aucun,0,1,excellent séjour.,274.0225,0.4634929613444151,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.22,3.55,32.0,13.85,92.0,41.89193,12.51133,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,15.93,11.65,37.47,1.19,2208.0,Open-Meteo Air Quality API,2025-03-01/2025-05-31,1764.18,147.015,0.8431461538461539,3.3868666666666667,0.3664326923076922,0.0,0,1,0.45,0.5677777777777778,0.0,0.7088333333333334,0.4113722222222222,0.326,risque_eleve
3,senior,13347.18,bali,printemps,16,villa,881.94,ensoleillé,plage,5,météo,1,1,excellent séjour.,834.19875,0.0660768791609913,1.0,0.0,0.0,1.0,1.0,0.0,1.0,26.99,6.49,65.0,13.72,92.0,-8.65,115.21667,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,12.14,10.4,31.68,2.19,2208.0,Open-Meteo Air Quality API,2025-03-01/2025-05-31,12465.24,779.0775,2.1527709677419358,0.766904347826087,1.0,0.9256618357487922,0,0,1.0,0.7783333333333334,0.0,0.8053333333333333,0.5140166666666667,0.6283,risque_faible
4,couple,7049.42,sydney,automne,17,appartement,844.39,nuageux,randonnée,3,météo,1,1,séjour mitigé.,414.6717647058824,0.1197814855690255,1.0,0.0,0.0,0.0,1.0,0.0,1.0,19.17,1.74,22.0,21.07,91.0,-33.86785,151.20732,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,10.98,9.17,34.45,1.63,2184.0,Open-Meteo Air Quality API,2025-09-01/2025-11-30,6205.03,365.0017647058824,0.8811775000000001,0.6495307692307692,0.413971875,1.0,0,0,0.7,0.7872222222222223,0.0,0.7591666666666667,0.5032777777777777,0.4403,risque_moyen
5,solo,7612.92,paris,hiver,7,hôtel,1081.24,pluie,gastronomie,2,retard_vol,1,1,séjour mitigé.,1087.56,0.1420269751948004,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.95,2.61,35.0,15.72,90.0,48.85341,2.3488,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,20.98,17.57,45.01,0.13,2160.0,Open-Meteo Air Quality API,2024-12-01/2025-02-28,6531.68,933.0971428571428,1.8126,3.089257142857143,1.0,0.0,0,1,0.25,0.0,0.0,0.5831666666666667,0.17495,0.451,risque_moyen
6,famille,9378.46,new york,printemps,12,hôtel,1762.66,nuageux,gastronomie,5,météo,1,1,excellent séjour.,781.5383333333333,0.1879477014349904,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.04,4.75,36.0,17.46,92.0,40.71427,-74.00597,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,11.88,11.05,41.24,1.07,2208.0,Open-Meteo Air Quality API,2025-03-01/2025-05-31,7615.799999999999,634.65,1.44284,2.073717647058824,1.0,0.0,1,0,0.7,0.3911111111111111,0.0,0.6459999999999999,0.3306888888888888,0.5837,risque_moyen
7,business,7486.54,lisbonne,été,5,villa,1033.07,nuageux,business,5,météo,1,1,excellent séjour.,1497.308,0.1379903132822371,0.0,0.0,1.0,1.0,1.0,0.0,1.0,23.39,0.06,1.0,17.22,92.0,38.72509,-9.1498,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,19.54,10.92,32.89,2.16,2208.0,Open-Meteo Air Quality API,2025-06-01/2025-08-31,6453.47,1290.694,2.2019235294117645,2.7186052631578947,1.0,0.0,1,0,0.7,0.9783333333333332,0.0,0.7851666666666667,0.5779666666666666,0.6134,risque_faible
9,couple,9414.0,paris,hiver,17,appartement,1156.59,pluie,gastronomie,2,annulation,1,0,séjour mitigé.,553.7647058823529,0.1228585086042065,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.95,2.61,35.0,15.72,90.0,48.85341,2.3488,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,20.98,17.57,45.01,0.13,2160.0,Open-Meteo Air Quality API,2024-12-01/2025-02-28,8257.41,485.73,2.2414285714285715,3.304542857142857,1.0,0.0,1,0,0.25,0.0,0.0,0.5831666666666667,0.17495,0.511,risque_moyen
11,senior,12845.33,bali,automne,21,resort,466.0,variable,business,5,retard_vol,1,1,excellent séjour.,611.682380952381,0.0362777756585467,1.0,1.0,0.0,1.0,1.0,1.0,0.0,26.3,6.82,61.0,14.71,91.0,-8.65,115.21667,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,14.48,11.69,32.66,2.5,2184.0,Open-Meteo Air Quality API,2025-09-01/2025-11-30,12379.33,589.4919047619047,2.0718274193548387,0.4052173913043478,1.0,1.0,0,0,0.45,0.8166666666666667,0.0,0.789,0.5225333333333333,0.5767,risque_moyen
12,senior,10106.42,paris,hiver,4,appartement,1281.23,nuageux,plage,2,retard_vol,1,0,séjour mitigé.,2526.605,0.1267738724493935,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.95,2.61,35.0,15.72,90.0,48.85341,2.3488,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,20.98,17.57,45.01,0.13,2160.0,Open-Meteo Air Quality API,2024-12-01/2025-02-28,8825.19,2206.2975,2.406290476190476,3.660657142857143,1.0,0.0,0,1,0.7,0.0,0.0,0.5831666666666667,0.17495,0.505,risque_moyen
13,famille,8515.12,new york,automne,10,villa,1204.4,nuageux,plage,1,météo,1,1,séjour mitigé.,851.5120000000001,0.1414425163708791,0.0,0.0,0.0,1.0,1.0,0.0,1.0,13.97,3.07,25.0,15.38,91.0,40.71427,-74.00597,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,11.7,11.28,42.27,0.76,2184.0,Open-Meteo Air Quality API,2025-09-01/2025-11-30,7310.720000000001,731.0720000000001,1.3100184615384616,1.4169411764705884,0.9500230769230767,0.2033986928104574,1,1,0.7,0.4983333333333334,0.0,0.6288333333333334,0.3630666666666667,0.7302,risque_faible
14,solo,7607.9,sydney,printemps,19,hôtel,820.22,ensoleillé,randonnée,2,annulation,1,1,séjour mitigé.,400.4157894736842,0.1078116168719357,1.0,0.0,0.0,0.0,1.0,1.0,0.0,19.13,4.44,49.0,17.74,92.0,-33.86785,151.20732,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,11.25,9.25,31.84,1.01,2208.0,Open-Meteo Air Quality API,2025-03-01/2025-05-31,6787.679999999999,357.24631578947367,0.9509875,0.6309384615384616,0.5012343749999999,1.0,1,1,1.0,0.7849999999999999,0.0,0.8026666666666666,0.51555,0.8022,risque_faible
15,business,12985.57,new york,été,9,hôtel,1631.27,pluie,randonnée,4,retard_vol,1,1,excellent séjour.,1442.841111111111,0.1256217478324016,0.0,1.0,1.0,0.0,1.0,1.0,0.0,24.52,2.28,32.0,14.21,92.0,40.71427,-74.00597,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,18.13,17.43,51.89,1.61,2208.0,Open-Meteo Air Quality API,2025-06-01/2025-08-31,11354.3,1261.5888888888887,1.99778,1.919141176470588,1.0,0.0,0,1,0.25,0.9155555555555556,0.0,0.4685,0.4609944444444444,0.4853,risque_moyen
16,solo,6125.88,rome,automne,21,appartement,1211.76,nuageux,business,1,aucun,0,0,séjour mitigé.,291.7085714285714,0.1978099473055299,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.21,4.01,24.0,12.75,91.0,41.89193,12.51133,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,13.51,9.22,34.28,0.79,2184.0,Open-Meteo Air Quality API,2025-09-01/2025-11-30,4914.12,234.00571428571428,1.5707384615384616,2.6928,1.0,0.0,0,1,0.7,0.6783333333333335,0.0,0.762,0.4660166666666667,0.5399,risque_moyen
17,senior,8193.32,new york,hiver,17,appartement,1494.6,pluie,business,2,aucun,0,1,séjour mitigé.,481.96,0.1824168957150459,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,32.0,16.49,90.0,40.71427,-74.00597,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,14.23,13.56,43.36,0.34,2160.0,Open-Meteo Air Quality API,2024-12-01/2025-02-28,6698.719999999999,394.0423529411764,1.260510769230769,1.7583529411764705,0.8881384615384613,0.0,0,1,0.25,0.0,0.0,0.6106666666666667,0.1832,0.4207,risque_moyen
19,famille,12221.95,rome,printemps,4,villa,1206.0,variable,culture,2,aucun,0,1,séjour mitigé.,3055.4875,0.0986749250324211,0.0,1.0,0.0,1.0,0.0,0.0,0.0,15.22,3.55,32.0,13.85,92.0,41.89193,12.51133,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,15.93,11.65,37.47,1.19,2208.0,Open-Meteo Air Quality API,2025-03-01/2025-05-31,11015.95,2753.9875,3.133833333333333,2.68,1.0,0.0,1,1,0.45,0.5677777777777778,0.0,0.7088333333333334,0.4113722222222222,0.6834,risque_faible
20,business,10416.72,tokyo,printemps,5,appartement,529.64,ensoleillé,plage,3,annulation,1,1,séjour mitigé.,2083.344,0.05084517967268,0.0,0.0,1.0,0.0,1.0,1.0,0.0,14.52,6.04,44.0,15.33,92.0,35.6895,139.69171,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,29.58,26.1,53.35,1.05,2208.0,Open-Meteo Air Quality API,2025-03-01/2025-05-31,9887.08,1977.416,1.4467666666666663,0.5044190476190477,1.0,1.0,0,0,1.0,0.5288888888888889,0.0,0.4441666666666666,0.3183611111111111,0.6182,risque_faible
